,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
p0,0.0050512212,-0.1341714,-0.0041551706,0.058579534,0.2413924,-0.06909782,0.0239398,-0.13773961,0.012169321,0.3294558,0.078256354,-0.13984863,0.11775282,-0.28147662,0.04748544,0.20282252,-0.08750735,0.10862161,-0.4480288,0.24304076,0.2167888,-0.11383233,-0.2264109,-0.29820636,-0.27607518,0.09491219,-0.10680092,0.12606293,0.023731856,-0.068521075,-0.13494682,0.040772445,0.13911246,0.010531777,-0.067152165,0.2654985,0.19831122,0.027626637,0.026935067,0.24919361,0.18118723,0.14046064,0.052163795,-0.04955795,0.1820261,-0.020580124,0.03159232,-0.09200593,-0.03971953,-0.053400937,0.1866017,0.03175693,0.022121906,0.14984088,-0.22010206,-0.19383135,0.17149553,-0.29860753,-0.05274072,0.2943127,-0.38187152,-0.108832546,0.040712055,0.0028879894,0.20550935,-0.096153066,0.14216648,-0.033282433,-0.09029771,-0.10050546,-0.074031666,-0.088909894,-0.20358633,-0.12512556,0.2565501,-0.08740008,-0.026384719,-0.20718044,-0.146186,-0.08034594,-0.08011819,-0.033463392,0.08926109,0.2025111,0.15300635,0.2499316,0.039056983,-0.2168195,0.07816867,0.054022547,-0.13808356,-0.029585442,0.12986293,0.08090216,0.21608207,0.14289255,0.0167497,-0.18157929,-0.06781775,0.055891693,-0.20254843,0.13581541,0.0012314753,-0.09686177,0.14165653,0.022066645,0.034927126,0.1569401,0.3003963,-0.009799707,-0.045981698,-0.21373813,-0.1185961,0.09742219,0.08598323,0.14116581,0.19775334,0.17524642,0.09280689,0.0036891964,-0.06886634,-0.11398366,-0.2694961,0.15101579,-0.11513593,-0.06190278,-0.12086157,0.025075573
p1,0.0019010777,-0.050187,-0.0121232355,-0.0010680173,0.14853711,-0.07396409,0.07503617,-0.09493427,-0.021087026,0.26393342,0.06372685,-0.07908048,0.06000611,-0.15641074,0.0734705,0.110950574,-0.120228365,0.0021480669,-0.28482965,0.20827746,0.04596995,-0.07653015,-0.11243742,-0.23264892,-0.053338423,0.094009906,-0.0138015635,0.07455954,0.019541176,-0.070601724,-0.11513544,-0.0006706858,0.117802486,0.0030437927,-0.015938977,0.14095218,0.12621431,0.047149554,0.00963269,0.122152396,0.073895946,0.1267499,0.011632579,-0.014515744,0.14527763,-0.12555431,-0.017027322,-0.00597206,0.050733093,0.040853005,0.09811508,0.066798225,0.01842607,0.042231183,-0.12735541,-0.09869627,0.09613186,-0.10954958,0.010549467,0.13564597,-0.23847291,0.0117346905,0.040820494,-0.024031531,0.13676457,-0.07544162,0.023216143,0.028651549,-0.011860218,-0.03579727,-0.011713469,-0.121365756,-0.21122257,-0.101143986,0.15376242,-0.057198897,-0.0016442214,-0.11756572,-0.12597011,-0.05624682,-0.10468309,-0.026359057,0.1376878,0.16017376,0.054405354,0.19752271,0.060901646,-0.17680247,0.036192328,0.042069178,-0.06762623,-0.031046081,0.039504062,0.028986236,0.0866532,0.09247202,-0.067999676,-0.08502328,-0.003344062,0.037043747,-0.14234361,0.08406752,0.053633686,-0.08940778,0.020381764,0.032922447,0.008265253,0.08306903,0.14691462,0.015480694,-0.00066515984,-0.16906303,-0.05495583,0.035236694,0.056095082,0.061051227,0.14819871,0.050037388,0.0848074,0.044846825,-0.056904882,-0.14111343,-0.14413312,0.114761,-0.13484928,0.03542931,-0.08368936,0.0006591701
p2,0.0029971227,-0.06592743,0.013561607,0.00037131133,0.17881697,-0.06935116,0.07255895,-0.0640648,-0.012233869,0.2595276,0.059004452,-0.095310286,0.045759533,-0.12821391,0.0826671,0.12622805,-0.14787519,-0.009986795,-0.26766044,0.23144437,0.037069783,-0.06363838,-0.13687088,-0.24334906,-0.036184434,0.1051794,-0.007411488,0.07994285,0.029757792,-0.057688877,-0.123945214,0.006579996,0.11040976,0.011903552,-0.00080631446,0.1314615,0.12055386,0.04024258,0.0056231203,0.115245275,0.06461147,0.142242,0.005962189,-0.019205768,0.154747,-0.14687642,-0.03263151,0.006310406,0.084692374,0.062591285,0.08770454,0.095001265,0.018983187,0.02688646,-0.12437396,-0.08461085,0.08219823,-0.0927395,-0.0014876783,0.117587276,-0.2551646,0.03932934,0.042184673,-0.028259356,0.16004385,-0.093006335,0.020644052,0.03538516,0.010246124,-0.0356548,-0.030759202,-0.12123879,-0.24164468,-0.10568713,0.14986277,-0.07056892,-0.0032469335,-0.12401389,-0.15369067,-0.057677858,-0.10389771,-0.0024268706,0.17705496,0.18500572,0.056795694,0.22272238,0.07803119,-0.2002879,0.032792233,0.044451322,-0.04128674,-0.0543802,0.03325667,0.03978711,0.078494094,0.09239388,-0.09531737,-0.10530796,0.0041639227,0.03853049,-0.16883989,0.08931518,0.05160362,-0.102779046,0.014862812,0.036902737,-0.01697927,0.07341771,0.122835785,0.007842302,-0.0041722343,-0.17438912,-0.04709687,0.03659323,0.051419143,0.042776715,0.16580056,0.030394519,0.10076911,0.04389949,-0.045704547,-0.1561134,-0.122688696,0.10878942,-0.16820237,0.04555234,-0.10120955,0.013241821
p3,0.010786081,-0.089007154,0.026636954,0.040605422,0.2164816,-0.025687024,0.07724021,-0.048569124,-0.04201926,0.25126597,0.007535207,-0.14759469,0.04824831,-0.069342375,0.0895764,0.080351025,-0.13628744,0.028466769,-0.20265052,0.29132897,-0.0038808836,-0.0975391,-0.11921639,-0.23787344,0.017823147,0.11750482,-0.033084963,0.04706779,0.002959976,-0.10119555,-0.16825408,0.012151369,0.08981408,0.12500156,0.009728765,0.0938418,0.10420933,0.011876412,0.0028875757,0.10121195,0.12323211,0.17309865,-0.012771086,-0.008633944,0.20301872,-0.20372489,-0.035956323,0.038721234,0.15981829,0.11288063,0.15302213,0.14267087,0.1394529,-0.020863926,-0.121171646,-0.04715888,0.09652115,-0.06245354,-0.06684677,0.04664362,-0.27241153,0.117519066,0.02768314,-0.009465836,0.29296884,-0.15650575,-0.008075432,0.0141250575,0.04742521,-0.051627558,0.009589133,-0.07881237,-0.35247532,-0.12622076,0.13590463,-0.086403035,-0.011041267,-0.10355586,-0.20200107,-0.043396246,-0.15413164,0.04276827,0.18513307,0.22464342,0.029119702,0.2468053,0.14857653,-0.23494685,-0.025623208,0.09800259,0.025959875,-0.074849285,0.0054654763,0.030333461,0.04515401,0.12185387,-0.1524963,-0.16454734,0.009610652,0.08347333,-0.133633,0.07408143,0.08797087,-0.1529008,0.02345648,0.1217954,-0.053696472,0.055268887,0.16537973,0.030229501,0.030813519,-0.14477003,-0.048357233,0.033205815,0.04640307,0.057216723,0.18225123,-0.0026485438,0.19757952,0.051916864,-0.031191256,-0.2012188,-0.11780037,0.1362026,-0.25131112,0.088892706,-0.0832738,-0.0022456665
p4,-0.009755492,-0.08996412,0.0045549604,0.08163142,0.22003561,-0.08807819,0.05955934,-0.052475724,-0.007964599,0.29246613,0.057454377,-0.09979865,0.035252146,-0.12693575,0.07991509,0.17335503,-0.15667659,0.016720066,-0.24527399,0.30953643,0.096945256,-0.091041364,-0.1662475,-0.29923648,-0.095270455,0.12452212,-0.06635382,0.07908061,0.075122625,-0.07846044,-0.20455049,0.031548265,0.074091926,0.085111044,-0.008242808,0.17989776,0.1337548,0.018698925,0.021457726,0.14409646,0.08937865,0.19490923,0.024216078,-0.035853293,0.2085123,-0.14475691,-0.05075161,0.053913902,0.14822306,0.047882926,0.16552354,0.08984425,0.081481166,0.017440477,-0.13328601,-0.079971746,0.10966761,-0.11132664,-0.060814798,0.073222,-0.2803838,0.07928715,0.015825244,-0.029598666,0.24201314,-0.15487388,0.033249322,0.014428042,0.014404403,-0.066012256,-0.017054351,-0.10053101,-0.31402612,-0.16813286,0.21457624,-0.073836885,-0.055407766,-0.15073122,-0.18939531,-0.009906971,-0.14618978,0.026664637,0.17302683,0.24849539,0.06904713,0.28009662,0.16952695,-0.24358852,0.026182339,0.116080575,0.0102895815,-0.078180194,0.043022405,0.07509985,0.09254272,0.12849292,-0.15559277,-0.21014851,0.0034011453,0.0702089,-0.19609141,0.1156499,0.09545038,-0.11346983,0.112180114,0.04494146,-0.07093277,0.088344075,0.20851363,-0.0030077212,-0.0078038936,-0.18918377,-0.06693614,0.07537184,0.044279505,0.09130231,0.15612917,0.030740147,0.16262475,0.020741196,-0.08319908,-0.20454364,-0.1644409,0.15677555,-0.2122717,0.036908947,-0.0714572,0.002075576
p5,-0.020915722,-0.10706164,0.05071501,0.115488075,0.2267838,-0.097169176,0.1021521,-0.03797767,-0.015427138,0.2861498,0.074610464,-0.10406497,0.01895982,-0.13565919,0.1100881,0.20410267,-0.16269396,0.010049601,-0.2593061,0.34231192,0.10379671,-0.07623838,-0.1757916,-0.31794512,-0.08134569,0.14613841,-0.06887497,0.106062025,0.11745171,-0.055391423,-0.24591792,0.08351801,0.06508861,0.09541624,-0.0029893613,0.18373455,0.15433885,0.0026101544,0.038385477,0.11304404,0.057263114,0.22469296,0.014253505,-0.049221653,0.2503607,-0.1753537,-0.082111456,0.08160225,0.1677313,0.0947053,0.16609628,0.108318254,0.11300111,0.030321114,-0.15532708,-0.03704739,0.1528856,-0.0886106,-0.098268196,0.05579684,-0.2932643,0.10744631,0.03792584,-0.065273784,0.27956918,-0.1799261,0.03195619,0.041178256,0.033934154,-0.10826118,-0.03831574,-0.1317726,-0.3895989,-0.2121477,0.20910157,-0.074342564,-0.0498746,-0.13729389,-0.22123955,0.016938437,-0.15642539,0.043170117,0.23944686,0.33622962,0.06941673,0.33250493,0.2278893,-0.26121554,0.026624186,0.15268321,0.01547134,-0.1345241,0.020175701,0.04806676,0.0980464,0.14972045,-0.22346188,-0.2559194,0.026249958,0.06634137,-0.23662537,0.14589046,0.08182506,-0.057358183,0.10311245,0.079667196,-0.121091485,0.08342874,0.21869235,-0.0059152367,-0.014457242,-0.17748226,-0.014448421,0.09332805,-0.0010150889,0.043732736,0.15569215,0.017035674,0.20003806,0.0200797,-0.08554046,-0.28504607,-0.15095095,0.15163475,-0.26243126,0.060644034,-0.071442895,0.021848025
p6,0.004347279,-0.07157955,-0.017938934,-0.009884482,0.19205202,-0.0707456,0.060049832,-0.10996337,-0.02043156,0.29305443,0.035985533,-0.09131633,0.07301377,-0.17601512,0.08013264,0.1396986,-0.13927522,0.0059048696,-0.3345413,0.23638266,0.06898137,-0.09634057,-0.14092638,-0.25342423,-0.08780821,0.09771397,-0.02684927,0.080120414,-0.013833755,-0.08607086,-0.10758476,-0.011620452,0.12919764,0.008738794,-0.028313067,0.16148269,0.1300013,0.04739112,-0.009583962,0.16237433,0.098981045,0.14285477,0.013641697,-0.0054407194,0.14149383,-0.1255052,0.0011072531,-0.022714019,0.038048584,0.015999418,0.11586694,0.078021996,-0.0039661485,0.044623625,-0.1538914,-0.11512892,0.101618186,-0.13668711,0.002047874,0.15776299,-0.290282,0.0036541317,0.04480894,-0.021567835,0.14121026,-0.066426426,0.030754276,0.025393901,-0.018947825,-0.029307239,-0.025873927,-0.12700112,-0.19974783,-0.12012127,0.17148036,-0.07455038,0.008399996,-0.14201134,-0.1322056,-0.100634106,-0.09878084,-0.024367932,0.10919697,0.15689981,0.059945215,0.20481049,0.030593932,-0.19882686,0.03365479,0.03995766,-0.07577111,-0.030822722,0.060373902,0.03419048,0.12455799,0.10053036,-0.038404737,-0.103366315,0.006675913,0.056694455,-0.15318646,0.092769735,0.04690584,-0.10242477,0.012925955,0.03974072,0.023420032,0.10768581,0.1757673,0.025439894,0.0022267245,-0.19341266,-0.089141294,0.034623753,0.08249755,0.07045999,0.16070452,0.06408868,0.07950396,0.021053167,-0.053046707,-0.13889474,-0.16096,0.118621066,-0.14716502,0.033420566,-0.09977735,0.012985505
p7,-0.0064396663,-0.07161952,0.002583877,0.0018545758,0.17913051,-0.0739112,0.071627356,-0.0942976,-0.005015368,0.28275385,0.059348974,-0.11077553,0.07142815,-0.17277278,0.07048018,0.13494012,-0.14177303,0.010014239,-0.31176722,0.2273398,0.07586764,-0.08390567,-0.1423909,-0.24909036,-0.0863566,0.10240634,-0.050512478,0.08759982,0.016974976,-0.080904655,-0.14756015,0.0071982034,0.11718896,0.019272484,-0.021830501,0.16868377,0.13086636,0.035309654,0.014214417,0.13346767,0.09036174,0.13672943,0.02099866,-0.021092324,0.1543858,-0.12597889,-0.012099984,-0.006798085,0.05665501,0.041980695,0.12631685,0.08099992,0.027461786,0.042442314,-0.1417455,-0.1115139,0.10901564,-0.12167181,-0.013730836,0.13629676,-0.28545326,0.0037960487,0.051102567,-0.036135174,0.16575071,-0.075815484,0.044794228,0.030716008,-0.018608654,-0.05347474,-0.010653216,-0.117738254,-0.21377185,-0.1082418,0.1614275,-0.064125635,-0.00766707,-0.14103709,-0.15749004,-0.063081525,-0.096187495,-0.023048526,0.14276658,0.17993698,0.07359265,0.21623567,0.07581881,-0.20546912,0.03585867,0.06179967,-0.071346804,-0.048751783,0.047412045,0.02080952,0.120510384,0.10415333,-0.07273444,-0.1250141,-0.006813477,0.05475885,-0.17615579,0.102383375,0.04376572,-0.08342521,0.0378131,0.03983054,-0.01263571,0.10911321,0.16570328,0.018572085,-0.0015899776,-0.16973408,-0.066528395,0.046280388,0.04013119,0.06972645,0.16287035,0.071946904,0.11648531,0.025063358,-0.07346328,-0.16077605,-0.14855953,0.11557735,-0.15204597,0.049435448,-0.08967071,0.015070243
p8,-0.0032744484,-0.09159731,0.0029880146,-0.020184008,0.17875966,-0.12497182,0.070402764,-0.12263749,-0.0018376358,0.319481,0.09250576,-0.11430608,0.100994386,-0.21565543,0.07886009,0.16496189,-0.13967095,0.034777973,-0.384567,0.23599324,0.14270923,-0.08202792,-0.17571431,-0.28079742,-0.15057236,0.118008584,-0.085660145,0.10201552,0.030393863,-0.07794117,-0.15397903,-0.0018622958,0.1283928,0.020340977,-0.0051432536,0.21754214,0.15405558,0.051545862,0.035377942,0.16505863,0.10796477,0.16362046,0.030254167,-0.047316585,0.18785329,-0.11561752,0.021914063,-0.040088497,0.05284139,0.04308505,0.15906319,0.07267299,0.024611134,0.057206355,-0.13960584,-0.15590926,0.13897324,-0.19989236,-0.009923529,0.19143263,-0.3294738,-0.019285098,0.065622054,-0.047764033,0.19494621,-0.07763664,0.096632995,0.038545664,-0.032427732,-0.04825094,-0.027459228,-0.13037877,-0.23337178,-0.104949854,0.20643406,-0.073620595,-0.00025236164,-0.16126484,-0.15824462,-0.06485174,-0.13100544,-0.06525909,0.16372463,0.21242288,0.1029813,0.23430803,0.06564881,-0.22522797,0.048590697,0.06711131,-0.110088885,-0.047942683,0.06567001,0.027192954,0.16747268,0.100389,-0.059551373,-0.14823833,-0.02276363,0.056969043,-0.2041482,0.12938207,0.032336865,-0.077104814,0.07948589,0.029562756,0.0034494833,0.13980173,0.20124432,-0.0019472697,0.004203464,-0.1990192,-0.08432009,0.07358968,0.047635924,0.078363344,0.18856017,0.104202814,0.10250381,0.04226837,-0.07871849,-0.15506521,-0.21272074,0.13551366,-0.14714561,0.020424832,-0.10792547,0.016158083
p9,-0.009915427,-0.09544365,0.007028965,-0.012120707,0.18205284,-0.107291944,0.062960885,-0.12646319,-0.01022297,0.31829974,0.07506023,-0.14075893,0.114526235,-0.22011961,0.07063486,0.15752578,-0.11967071,0.04319782,-0.4014266,0.2153267,0.14948367,-0.08355751,-0.2057672,-0.27898502,-0.19048862,0.10073934,-0.0873211,0.112201855,0.013025068,-0.07526683,-0.13481365,-0.0067453054,0.13953605,0.0042900187,-0.025285136,0.2204965,0.15368894,0.03541034,0.032212637,0.17152084,0.111209676,0.13801327,0.03606078,-0.04017042,0.16268615,-0.09533593,0.045618422,-0.07222321,0.005720239,0.023692276,0.16189475,0.066969596,0.020721626,0.08811701,-0.14747056,-0.1575738,0.15384057,-0.21560317,-0.027054641,0.21099657,-0.35173324,-0.04217308,0.07757094,-0.037187368,0.18833053,-0.06367966,0.111997336,0.02470174,-0.065342024,-0.061591685,-0.035986703,-0.11710852,-0.2155738,-0.096043,0.19450955,-0.06892449,-0.0090582725,-0.1751519,-0.13569036,-0.07296553,-0.106319584,-0.07702121,0.1641036,0.18975012,0.12827781,0.22202112,0.06106333,-0.22112936,0.06298487,0.061139464,-0.13188069,-0.050546393,0.08010755,0.03242438,0.17492051,0.103221,-0.023518778,-0.12318901,-0.037425447,0.04729042,-0.20948596,0.11573685,0.013341563,-0.07951427,0.08087516,0.024632193,0.011916038,0.14801207,0.21819173,-0.0021974337,-0.00094999705,-0.20270208,-0.0835918,0.08323462,0.051727623,0.10301535,0.19102816,0.13136327,0.087600924,0.040551275,-0.0732261,-0.1333002,-0.2197784,0.1300886,-0.13144666,-0.0015418694,-0.10142816,0.024469078
